parcelid,State,County,taxrate
11721753,California,Los Angeles,1.28
11289917,California,Los Angeles,1.7
11705026,California,Los Angeles,1.53
14269464,California,Orange,1.12
11446756,California,Los Angeles,1.31
11389003,California,Los Angeles,1.25
11967869,California,Los Angeles,1.19
11429175,California,Los Angeles,1.32
11696784,California,Los Angeles,1.26
11921077,California,Los Angeles,1.82
11391972,California,Los Angeles,2.13
11743374,California,Los Angeles,1.24
12870253,California,Los Angeles,1.21
11460552,California,Los Angeles,1.2
14236060,California,Orange,1.21
14365030,California,Orange,1.02
14008322,California,Orange,1.42
11552513,California,Los Angeles,1.23
12535098,California,Los Angeles,1.23
12443331,California,Los Angeles,1.22
12955531,California,Los Angeles,1.2
11391577,California,Los Angeles,1.3
13880422,California,Orange,1.25
12814323,California,Los Angeles,1.19
10976131,California,Los Angeles,1.57
12057023,California,Los Angeles,1.1
11187927,California,Los Angeles,1.71
11451345,California,Los Angeles,1.34
10984661,California,Los Angeles,1.48
12196319,California,Los Angeles,1.96
11367981,California,Los Angeles,1.32
11312124,California,Los Angeles,1.84
12035592,California,Los Angeles,1.21
13071085,California,Los Angeles,1.33
10732347,California,Los Angeles,1.4
10722858,California,Los Angeles,1.24
12114701,California,Los Angeles,1.18
13083743,California,Los Angeles,1.29
17086759,California,Ventura,1.13
13921492,California,Orange,1.54
11969146,California,Los Angeles,1.55
12178305,California,Los Angeles,1.11
11289757,California,Los Angeles,1.48
11961462,California,Los Angeles,1.3
12492881,California,Los Angeles,1.65
12285822,California,Los Angeles,2.23
12519794,California,Los Angeles,1.3
14092694,California,Orange,1.37
12749741,California,Los Angeles,1.6
11797465,California,Los Angeles,1.24
11733550,California,Los Angeles,1.44
10779619,California,Los Angeles,0.4
11917650,California,Los Angeles,1.31
14012730,California,Orange,1.43
14430658,California,Orange,1.54
11830465,California,Los Angeles,1.42
17165634,California,Ventura,1.15
10811539,California,Los Angeles,1.24
12048224,California,Los Angeles,1.11
14010551,California,Orange,1.25
12811794,California,Los Angeles,1.87
12347492,California,Los Angeles,1.25
12941764,California,Los Angeles,1.37
10871677,California,Los Angeles,1.26
14257065,California,Orange,1.4
11499751,California,Los Angeles,1.31
11603473,California,Los Angeles,1.41
11958628,California,Los Angeles,1.25
12118682,California,Los Angeles,1.51
11056104,California,Los Angeles,1.22
11503172,California,Los Angeles,1.21
11993956,California,Los Angeles,1.24
11054736,California,Los Angeles,1.28
11206210,California,Los Angeles,1.85
12563708,California,Los Angeles,1.52
13857433,California,Orange,1.21
13839883,California,Orange,1.21
11206381,California,Los Angeles,1.74
12482839,California,Los Angeles,1.3
14054846,California,Orange,1.21
13989370,California,Orange,1.42
14482667,California,Orange,1.02
14286211,California,Orange,1.38
10924250,California,Los Angeles,1.21
14174538,California,Orange,1.2
10885672,California,Los Angeles,1.29
12484642,California,Los Angeles,1.25
12739947,California,Los Angeles,1.27
14472456,California,Orange,0.97
11513448,California,Los Angeles,1.05
13844056,California,Orange,1.66
14053136,California,Orange,1.14
14175466,California,Orange,1.12
12846559,California,Los Angeles,1.23
13837417,California,Orange,1.19
14280254,California,Orange,1.17
13842033,California,Orange,1.98
14056849,California,Orange,1.15
14173678,California,Orange,1.19
12614763,California,Los Angeles,1.28
11206504,California,Los Angeles,1.62
13894337,California,Orange,1.05
10827194,California,Los Angeles,1.27
11289836,California,Los Angeles,1.59
11288389,California,Los Angeles,2.25
11166665,California,Los Angeles,1.36
13935796,California,Orange,1.47
10957128,California,Los Angeles,1.1
11287385,California,Los Angeles,1.83
17208785,California,Ventura,1.09
14100525,California,Orange,1.22
12792562,California,Los Angeles,1.27
14224435,California,Orange,1.1
10867744,California,Los Angeles,1.29
13909504,California,Orange,1.18
12462465,California,Los Angeles,1.22
12265744,California,Los Angeles,1.76
14185262,California,Orange,1.14
11033823,California,Los Angeles,1.26
12460440,California,Los Angeles,1.22
12752649,California,Los Angeles,1.49
14217005,California,Orange,1.02
13973341,California,Orange,1.84
12400532,California,Los Angeles,1.22
12779665,California,Los Angeles,1.24
11553985,California,Los Angeles,1.24
11016174,California,Los Angeles,1.22
12767272,California,Los Angeles,1.63
10816453,California,Los Angeles,1.21
13955211,California,Orange,1.34
11281518,California,Los Angeles,2.1
13963357,California,Orange,1.36
14195073,California,Orange,1.17
12760933,California,Los Angeles,1.28
12760263,California,Los Angeles,1.72
11280307,California,Los Angeles,1.95
12768887,California,Los Angeles,1.35
11298368,California,Los Angeles,1.94
13951150,California,Orange,1.27
11285800,California,Los Angeles,2.96
13941306,California,Orange,1.28
12268626,California,Los Angeles,1.36
11278514,California,Los Angeles,1.58
11792481,California,Los Angeles,1.21
12756670,California,Los Angeles,1.42
17059646,California,Ventura,1.2
11201145,California,Los Angeles,3.24
11201591,California,Los Angeles,1.97
13950810,California,Orange,1.95
11013055,California,Los Angeles,1.27
14066648,California,Orange,1.12
12592021,California,Los Angeles,1.26
11202454,California,Los Angeles,1.49
10969383,California,Los Angeles,1.27
12213784,California,Los Angeles,3.69
14252582,California,Orange,1.28
11312166,California,Los Angeles,1.84
13867661,California,Orange,1.41
17222974,California,Ventura,1.13
12023868,California,Los Angeles,1.22
17294157,California,Ventura,1.35
12473881,California,Los Angeles,1.24
12252417,California,Los Angeles,1.69
10750812,California,Los Angeles,1.2
11213714,California,Los Angeles,1.86
17290244,California,Ventura,1.07
12836830,California,Los Angeles,1.29
12480709,California,Los Angeles,1.6
12179610,California,Los Angeles,1.21
11860038,California,Los Angeles,1.24
11270112,California,Los Angeles,1.54
14486421,California,Orange,1.0
12741391,California,Los Angeles,1.34
11315088,California,Los Angeles,1.71
11646891,California,Los Angeles,1.2
12082610,California,Los Angeles,1.15
10818262,California,Los Angeles,1.32
12273512,California,Los Angeles,1.44
14241975,California,Orange,1.13
17187503,California,Ventura,1.11
12811897,California,Los Angeles,1.38
17129832,California,Ventura,1.14
12747257,California,Los Angeles,1.29
17161340,California,Ventura,1.19
14503257,California,Orange,1.03
11276186,California,Los Angeles,1.67
10808702,California,Los Angeles,1.23
13903594,California,Orange,1.36
13977892,California,Orange,1.13
13905056,California,Orange,1.59
14227765,California,Orange,1.13
12464212,California,Los Angeles,1.18
17051583,California,Ventura,1.11
11532991,California,Los Angeles,1.2
12471532,California,Los Angeles,1.22
12075306,California,Los Angeles,1.1
17071003,California,Ventura,1.05
13981009,California,Orange,1.17
12817483,California,Los Angeles,1.17
12745547,California,Los Angeles,1.61
11867912,California,Los Angeles,1.5
14237264,California,Orange,1.52
11966821,California,Los Angeles,1.22
12190349,California,Los Angeles,1.29
12273036,California,Los Angeles,2.91
11039885,California,Los Angeles,1.23
14501072,California,Orange,0.98
11338161,California,Los Angeles,1.25
17083283,California,Ventura,1.05
12936527,California,Los Angeles,1.23
14089501,California,Orange,1.27
14451614,California,Orange,1.2
12380487,California,Los Angeles,2.22
14156920,California,Orange,1.48
11263345,California,Los Angeles,2.42
13000325,California,Los Angeles,1.47
12124453,California,Los Angeles,1.95
17172225,California,Ventura,1.13
14336636,California,Orange,1.1
12896685,California,Los Angeles,1.19
14336696,California,Orange,1.1
14421501,California,Orange,1.07
11185483,California,Los Angeles,1.54
17193599,California,Ventura,1.1
13003913,California,Los Angeles,1.56
11073063,California,Los Angeles,1.23
11248913,California,Los Angeles,1.29
13049078,California,Los Angeles,1.3
12900424,California,Los Angeles,1.88
11946092,California,Los Angeles,1.21
11857848,California,Los Angeles,1.2
11787436,California,Los Angeles,1.28
11108685,California,Los Angeles,1.43
14376663,California,Orange,0.96
10846097,California,Los Angeles,1.28
12717246,California,Los Angeles,1.39
11001320,California,Los Angeles,1.22
12998502,California,Los Angeles,1.31
11678883,California,Los Angeles,1.65
14089018,California,Orange,1.14
14389080,California,Orange,1.03
14044737,California,Orange,1.13
14000922,California,Orange,1.26
12413736,California,Los Angeles,1.13
14388331,California,Orange,1.03
12731216,California,Los Angeles,1.25
11381373,California,Los Angeles,1.21
14342313,California,Orange,1.27
14156172,California,Orange,1.28
11757342,California,Los Angeles,1.4
11667870,California,Los Angeles,1.21
12889363,California,Los Angeles,1.37
11391305,California,Los Angeles,1.82
11392193,California,Los Angeles,1.58
12504131,California,Los Angeles,1.23
12504405,California,Los Angeles,1.23
11667272,California,Los Angeles,1.21
14455986,California,Orange,1.02
12313206,California,Los Angeles,1.32
11203683,California,Los Angeles,1.87
12720469,California,Los Angeles,1.29
11663691,California,Los Angeles,1.2
17113418,California,Ventura,1.05
11427902,California,Los Angeles,2.01
10850922,California,Los Angeles,1.21
12908998,California,Los Angeles,1.26
13022762,California,Los Angeles,1.24
11237179,California,Los Angeles,2.07
13034824,California,Los Angeles,1.2
12518552,California,Los Angeles,1.22
14145168,California,Orange,1.12
17153405,California,Ventura,1.81
12630934,California,Los Angeles,1.25
14036322,California,Orange,1.41
14436387,California,Orange,1.9
10859517,California,Los Angeles,1.21
14365560,California,Orange,1.03
14363975,California,Orange,1.03
12319747,California,Los Angeles,1.32
10780368,California,Los Angeles,1.22
14148752,California,Orange,1.29
11484472,California,Los Angeles,1.63
12429914,California,Los Angeles,1.24
12925936,California,Los Angeles,1.25
12698066,California,Los Angeles,1.25
13040361,California,Los Angeles,1.21
13044658,California,Los Angeles,1.14
11260390,California,Los Angeles,1.27
17151317,California,Ventura,1.17
12155776,California,Los Angeles,1.19
14111615,California,Orange,1.23
12701259,California,Los Angeles,1.47
14033434,California,Orange,1.35
17241297,California,Ventura,1.13
17151776,California,Ventura,1.14
11111466,California,Los Angeles,1.39
14349626,California,Orange,1.19
11684191,California,Los Angeles,1.14
11184912,California,Los Angeles,1.87
14107423,California,Orange,1.28
11655397,California,Los Angeles,1.21
14108092,California,Orange,1.19
11497349,California,Los Angeles,1.11
14300226,California,Orange,1.06
12390789,California,Los Angeles,2.66
14401101,California,Orange,1.26
11670323,California,Los Angeles,1.2
11628304,California,Los Angeles,1.24
14299759,California,Orange,1.14
10890671,California,Los Angeles,1.24
11094116,California,Los Angeles,1.24
12864046,California,Los Angeles,1.19
12863981,California,Los Angeles,1.19
12956746,California,Los Angeles,1.32
10851064,California,Los Angeles,1.21
13089562,California,Los Angeles,1.24
14024601,California,Orange,1.16
11454380,California,Los Angeles,1.26
12235261,California,Los Angeles,1.31
12953034,California,Los Angeles,1.84
12102046,California,Los Angeles,1.19
12102046,California,Los Angeles,1.19
13084948,California,Los Angeles,1.65
11232191,California,Los Angeles,2.09
12329077,California,Los Angeles,8.15
14466991,California,Orange,1.03
12391917,California,Los Angeles,1.67
11232792,California,Los Angeles,2.25
13078472,California,Los Angeles,1.16
17254469,California,Ventura,1.2
17283382,California,Ventura,1.06
11840396,California,Los Angeles,1.34
11771908,California,Los Angeles,1.24
14313342,California,Orange,1.08
10977533,California,Los Angeles,1.39
12303159,California,Los Angeles,1.54
14468115,California,Orange,1.06
14412823,California,Orange,1.01
11266326,California,Los Angeles,1.42
17073839,California,Ventura,1.06
14413446,California,Orange,1.02
14405408,California,Orange,1.11
14296645,California,Orange,1.08
11136488,California,Los Angeles,1.31
14139870,California,Orange,1.13
13072894,California,Los Angeles,1.26
14407010,California,Orange,1.0
10992389,California,Los Angeles,1.25
11700828,California,Los Angeles,1.98
14093394,California,Orange,1.26
12980417,California,Los Angeles,1.4
12329779,California,Los Angeles,1.23
10942915,California,Los Angeles,1.11
12223864,California,Los Angeles,2.77
17279762,California,Ventura,1.08
11455475,California,Los Angeles,1.36
14319797,California,Orange,1.02
12206402,California,Los Angeles,1.26
10907569,California,Los Angeles,1.21
10905659,California,Los Angeles,1.27
14434380,California,Orange,1.04
12020637,California,Los Angeles,1.23
10739546,California,Los Angeles,1.56
14221416,California,Orange,1.31
17217146,California,Ventura,1.06
12033783,California,Los Angeles,1.2
10739623,California,Los Angeles,1.5
12765494,California,Los Angeles,1.35
11249499,California,Los Angeles,1.57
12206149,California,Los Angeles,1.51
13903514,California,Orange,0.59
12134166,California,Los Angeles,1.19
12461071,California,Los Angeles,1.22
11453766,California,Los Angeles,1.23
11575478,California,Los Angeles,1.18
17112528,California,Ventura,2.45
11008947,California,Los Angeles,1.22
12761268,California,Los Angeles,1.29
12792363,California,Los Angeles,1.64
11558686,California,Los Angeles,1.23
14072879,California,Orange,1.09
12749922,California,Los Angeles,1.25
14016276,California,Orange,1.2
11641069,California,Los Angeles,1.21
14370823,California,Orange,1.04
14531717,California,Orange,1.57
11206957,California,Los Angeles,1.56
11641298,California,Los Angeles,1.21
11035469,California,Los Angeles,1.27
10717917,California,Los Angeles,1.24
11431878,California,Los Angeles,1.41
12762520,California,Los Angeles,1.38
14433976,California,Orange,1.04
11009268,California,Los Angeles,1.23
11158200,California,Los Angeles,1.44
12291583,California,Los Angeles,1.49
12117615,California,Los Angeles,1.15
11009893,California,Los Angeles,1.23
17300463,California,Ventura,1.19
12794513,California,Los Angeles,1.26
10800973,California,Los Angeles,1.21
12782440,California,Los Angeles,1.28
12225310,California,Los Angeles,1.92
17183451,California,Ventura,1.16
11997567,California,Los Angeles,1.21
12247837,California,Los Angeles,1.28
17125160,California,Ventura,1.07
13949743,California,Orange,1.65
17114118,California,Ventura,1.32
12269112,California,Los Angeles,2.14
14430922,California,Orange,1.86
17209126,California,Ventura,1.06
12847318,California,Los Angeles,1.31
12847318,California,Los Angeles,1.31
10809859,California,Los Angeles,1.25
10904507,California,Los Angeles,1.22
12525091,California,Los Angeles,1.19
14025601,California,Orange,1.84
12706444,California,Los Angeles,1.33
12226193,California,Los Angeles,1.4
11851413,California,Los Angeles,1.72
12142228,California,Los Angeles,1.14
10737322,California,Los Angeles,1.18
12779204,California,Los Angeles,1.26
14388893,California,Orange,1.04
12940586,California,Los Angeles,1.22
11679292,California,Los Angeles,1.2
