parcelid,bedroomcnt,bathroomcnt,calculatedfinishedsquarefeet,taxvaluedollarcnt,taxamount,yearbuilt,fips,transactiondate
11721753,3.0,2.0,1316.0,205123.0,2627.48,1923.0,6037.0,2017-07-21
11289917,3.0,2.0,1458.0,136104.0,2319.9,1970.0,6037.0,2017-06-23
11705026,2.0,1.0,1421.0,35606.0,543.69,1911.0,6037.0,2017-06-30
14269464,4.0,3.0,2541.0,880456.0,9819.72,2003.0,6059.0,2017-06-01
11446756,3.0,2.0,1491.0,107110.0,1399.27,1955.0,6037.0,2017-08-23
11389003,3.0,2.0,1650.0,614000.0,7673.19,1949.0,6037.0,2017-06-01
11967869,2.0,1.0,693.0,274237.0,3267.47,1921.0,6037.0,2017-06-29
11429175,4.0,2.0,1655.0,164269.0,2169.62,1955.0,6037.0,2017-08-23
11696784,0.0,0.0,1378.0,168828.0,2135.39,,6037.0,2017-06-16
11921077,3.0,2.0,1331.0,224906.0,4086.17,1954.0,6037.0,2017-07-18
11391972,3.0,2.0,1440.0,286062.0,6093.88,1938.0,6037.0,2017-07-20
11743374,4.0,1.0,2427.0,519963.0,6444.87,1912.0,6037.0,2017-07-14
12870253,3.0,2.0,1346.0,465102.0,5627.16,1959.0,6037.0,2017-07-27
11460552,3.0,2.0,1280.0,899750.0,10783.39,1950.0,6037.0,2017-08-29
14236060,3.0,2.0,1668.0,196483.0,2376.34,1976.0,6059.0,2017-05-19
14365030,3.0,2.5,1653.0,605000.0,6185.28,1992.0,6059.0,2017-05-01
14008322,3.0,1.0,879.0,141875.0,2015.78,1953.0,6059.0,2017-05-18
11552513,3.0,2.0,1108.0,486866.0,5990.5,1953.0,6037.0,2017-05-17
12535098,3.0,2.0,1947.0,388478.0,4784.07,1923.0,6037.0,2017-05-11
12443331,3.0,1.0,1004.0,272154.0,3307.31,1922.0,6037.0,2017-08-21
12955531,4.0,3.0,3416.0,344328.0,4136.13,1973.0,6037.0,2017-07-11
11391577,2.0,1.0,1061.0,31839.0,412.48,1923.0,6037.0,2017-06-02
13880422,3.0,2.0,1306.0,203480.0,2543.86,1963.0,6059.0,2017-07-13
12814323,3.0,2.0,1632.0,499402.0,5921.67,1970.0,6037.0,2017-06-29
10976131,3.0,3.0,2768.0,151340.0,2373.63,1951.0,6037.0,2017-05-31
12057023,3.0,3.0,2392.0,845708.0,9310.38,1963.0,6037.0,2017-06-30
11187927,3.0,2.0,1088.0,130679.0,2228.31,1955.0,6037.0,2017-06-14
11451345,3.0,2.0,1157.0,85692.0,1147.37,1954.0,6037.0,2017-08-25
10984661,3.0,2.0,1386.0,52560.0,777.51,1957.0,6037.0,2017-07-31
12196319,2.0,1.0,728.0,75227.0,1471.8,1921.0,6037.0,2017-08-01
11367981,3.0,2.0,1191.0,164685.0,2169.02,1935.0,6037.0,2017-05-22
11312124,3.0,2.0,1358.0,168626.0,3107.95,1991.0,6037.0,2017-06-01
12035592,5.0,3.0,4048.0,2673077.0,32411.31,1922.0,6037.0,2017-08-22
13071085,4.0,3.0,2291.0,397616.0,5284.09,1980.0,6037.0,2017-06-09
10732347,4.0,2.0,2115.0,115306.0,1613.84,1960.0,6037.0,2017-07-25
10722858,4.0,2.0,1570.0,373282.0,4619.79,1960.0,6037.0,2017-07-28
12114701,2.0,1.0,918.0,374368.0,4406.57,1908.0,6037.0,2017-08-25
13083743,3.0,2.0,1050.0,259334.0,3345.78,1960.0,6037.0,2017-05-25
17086759,3.0,2.0,1373.0,62048.0,703.0,1957.0,6111.0,2017-07-13
13921492,4.0,2.0,1485.0,63338.0,974.9,1959.0,6059.0,2017-06-30
11969146,3.0,1.0,1716.0,44455.0,690.81,1928.0,6037.0,2017-08-22
12178305,5.0,3.0,3048.0,1150000.0,12741.62,1967.0,6037.0,2017-07-25
11289757,3.0,2.0,2092.0,217006.0,3221.12,1956.0,6037.0,2017-08-30
11961462,2.0,1.0,1184.0,46336.0,603.88,1927.0,6037.0,2017-08-23
12492881,3.0,2.0,1569.0,73054.0,1206.4,1954.0,6037.0,2017-06-15
12285822,2.0,2.0,1069.0,44826.0,997.56,1938.0,6037.0,2017-07-28
12519794,4.0,2.0,1382.0,185483.0,2414.53,1953.0,6037.0,2017-08-16
14092694,3.0,2.0,1255.0,188730.0,2586.54,1955.0,6059.0,2017-07-10
12749741,3.0,2.0,1285.0,82374.0,1315.15,1954.0,6037.0,2017-05-31
11797465,2.0,1.0,865.0,280000.0,3458.73,1906.0,6037.0,2017-08-08
11733550,4.0,1.0,1356.0,37019.0,532.7,1925.0,6037.0,2017-08-18
10779619,3.0,3.0,2057.0,639607.0,2562.42,1968.0,6037.0,2017-08-28
